3-Jan-17,19881.76,19872.86,19938.53,19775.93
4-Jan-17,19942.16,19890.94,19956.14,19878.83
5-Jan-17,19899.29,19924.56,19948.6,19811.12
6-Jan-17,19963.8,19906.96,19999.63,19834.08
9-Jan-17,19887.38,19931.41,19943.78,19887.38
10-Jan-17,19855.53,19876.35,19957.12,19836.03
11-Jan-17,19954.28,19887.38,19973.42,19833.16
12-Jan-17,19891,19926.21,19929.29,19770.47
13-Jan-17,19885.73,19912.54,19952.03,19849.38
17-Jan-17,19826.77,19848.82,19882.99,19775.35
18-Jan-17,19804.72,19822.73,19828.2,19739
19-Jan-17,19732.4,19813.55,19824.14,19677.94
20-Jan-17,19827.25,19795.06,19843.94,19759.14
23-Jan-17,19799.85,19794.79,19833.98,19732.36
24-Jan-17,19912.71,19794.68,19949.24,19786.71
25-Jan-17,20068.51,19994.48,20082,19994.48
26-Jan-17,20100.91,20076.25,20125.58,20067.53
27-Jan-17,20093.78,20103.36,20115.97,20072.64
30-Jan-17,19971.13,20028.62,20028.62,19870.39
31-Jan-17,19864.09,19913.16,19918.17,19784.77
1-Feb-17,19890.94,19923.81,19967.73,19845.99
2-Feb-17,19884.91,19858.34,19922.75,19831.09
3-Feb-17,20071.46,19964.21,20081.48,19964.21
6-Feb-17,20052.42,20025.61,20094.95,20002.81
7-Feb-17,20090.29,20107.62,20155.35,20068.68
8-Feb-17,20054.34,20049.29,20068.28,20015.33
9-Feb-17,20172.4,20061.73,20206.36,20061.73
10-Feb-17,20269.37,20211.23,20298.21,20204.76
13-Feb-17,20412.16,20338.54,20441.48,20322.95
14-Feb-17,20504.41,20374.22,20504.41,20374.02
15-Feb-17,20611.86,20504.27,20620.45,20496.03
16-Feb-17,20619.77,20627.31,20639.87,20556.83
17-Feb-17,20624.05,20564.13,20624.05,20532.61
21-Feb-17,20743,20663.43,20757.64,20663.37
22-Feb-17,20775.6,20715.41,20781.59,20692.39
23-Feb-17,20810.32,20817.21,20840.7,20746.41
24-Feb-17,20821.76,20751.91,20821.76,20733.95
27-Feb-17,20837.44,20808.71,20851.33,20774.76
28-Feb-17,20812.24,20833.88,20841.24,20781.21
1-Mar-17,21115.55,20957.29,21169.11,20957.29
2-Mar-17,21002.97,21128.91,21129.2,20996.61
3-Mar-17,21005.71,21008.75,21039.96,20953.86
6-Mar-17,20954.34,20955.71,20986.43,20912.11
7-Mar-17,20924.76,20934.89,20970.54,20901.26
8-Mar-17,20855.73,20940.44,20951.44,20835.58
9-Mar-17,20858.19,20864.32,20900.57,20777.16
10-Mar-17,20902.98,20919.01,20940.29,20827.66
13-Mar-17,20881.48,20899.28,20926.06,20845.71
14-Mar-17,20837.37,20848.6,20874,20786.31
15-Mar-17,20950.1,20874.78,20977.47,20859.6
16-Mar-17,20934.55,20969.27,21000.11,20893.5
17-Mar-17,20914.62,20965.37,20980.51,20911.07
20-Mar-17,20905.86,20916.27,20955.45,20885.7
21-Mar-17,20668.01,20956.33,20970.04,20653.26
22-Mar-17,20661.3,20640.42,20686.21,20578.95
23-Mar-17,20656.58,20645.07,20757.89,20618.62
24-Mar-17,20596.72,20674.45,20718.33,20529.67
27-Mar-17,20550.98,20488.35,20578.46,20412.8
28-Mar-17,20701.5,20542.14,20735.61,20520.1
29-Mar-17,20659.32,20675.75,20684.73,20625.03
30-Mar-17,20728.49,20662.79,20753.78,20643.6
31-Mar-17,20663.22,20700.34,20722.59,20660.68
3-Apr-17,20650.21,20665.17,20692.34,20517.82
4-Apr-17,20689.24,20634.94,20701.29,20605.3
5-Apr-17,20648.15,20745.06,20887.5,20639.55
6-Apr-17,20662.95,20653.77,20746.46,20612.17
7-Apr-17,20656.1,20647.81,20726.07,20606.95
10-Apr-17,20658.02,20668.22,20750.33,20614.86
11-Apr-17,20651.3,20644.32,20660.03,20512.56
12-Apr-17,20591.86,20637.95,20642.54,20553.03
13-Apr-17,20453.25,20561.69,20612.27,20453.25
17-Apr-17,20636.92,20484.75,20644.41,20484.75
18-Apr-17,20523.28,20561.39,20600.12,20462.28
19-Apr-17,20404.49,20503.52,20546.69,20379.55
20-Apr-17,20578.71,20406.68,20629.78,20406.68
21-Apr-17,20547.76,20578.1,20601.4,20505.33
24-Apr-17,20763.89,20723.59,20792.2,20723.59
25-Apr-17,20996.12,20915.51,21026.97,20909.38
26-Apr-17,20975.09,21009.95,21070.9,20972.27
27-Apr-17,20981.33,20991.12,21005.8,20935.8
28-Apr-17,20940.51,20987.39,20987.76,20926.75
1-May-17,20913.46,20962.73,20976.62,20898.38
